Date,Open,High,Low,Close,Adj Close,Volume,Quarter
7/1/2019,373.5,376.660004,372,374.600006,374.600006,4992600,Q3-19
7/2/2019,374.890015,376,370.309998,375.429993,375.429993,3625000,Q3-19
7/3/2019,376.690002,381.98999,375.839996,381.720001,381.720001,3799000,Q3-19
7/5/2019,378.290009,381.399994,375.559998,380.549988,380.549988,3732200,Q3-19
7/8/2019,378.190002,378.25,375.359985,376.160004,376.160004,3113400,Q3-19
7/9/2019,379.059998,384.76001,377.5,379.929993,379.929993,6932800,Q3-19
7/10/2019,382.769989,384.339996,362.679993,381,381,5878800,Q3-19
7/11/2019,381.100006,384.540009,378.799988,379.5,379.5,4336300,Q3-19
7/12/2019,378.679993,379.73999,372.790009,373.25,373.25,6636900,Q3-19
7/15/2019,372.940002,373.679993,362.299988,366.600006,366.600006,7944700,Q3-19
7/16/2019,370.089996,371.339996,364.920013,365.98999,365.98999,5863200,Q3-19
7/17/2019,366.25,366.5,361.75,362.440002,362.440002,13639500,Q3-19
7/18/2019,323.76001,329.850006,320.299988,325.209991,325.209991,31305900,Q3-19
7/19/2019,323.399994,325.850006,314.230011,315.100006,315.100006,16302500,Q3-19
7/22/2019,312,314.540009,305.809998,310.619995,310.619995,17718000,Q3-19
7/23/2019,311.440002,313.5,306,307.299988,307.299988,9171100,Q3-19
7/24/2019,310.51001,319.98999,307.25,317.940002,317.940002,11961800,Q3-19
7/25/2019,318.859985,327.690002,316.299988,326.459991,326.459991,10798500,Q3-19
7/26/2019,328.790009,336,327.5,335.779999,335.779999,10847500,Q3-19
7/29/2019,335.980011,336.399994,328.769989,332.700012,332.700012,5782800,Q3-19
7/30/2019,329.200012,329.649994,323.230011,325.929993,325.929993,6029300,Q3-19
7/31/2019,325.160004,331.769989,318.529999,322.98999,322.98999,6259500,Q3-19
8/1/2019,324.25,328.579987,318.73999,319.5,319.5,6563200,Q3-19
8/2/2019,317.48999,319.410004,311.799988,318.829987,318.829987,6280300,Q3-19
8/5/2019,310.959991,313.420013,304.679993,307.630005,307.630005,8692500,Q3-19
8/6/2019,310.579987,311.880005,305.299988,310.100006,310.100006,6179100,Q3-19
8/7/2019,302.559998,305,296.809998,304.290009,304.290009,9322400,Q3-19
8/8/2019,311.029999,316.359985,306.630005,315.899994,315.899994,5905900,Q3-19
8/9/2019,313.73999,316.640015,305.679993,308.929993,308.929993,5349100,Q3-19
8/12/2019,305.459991,312.890015,303.23999,310.829987,310.829987,6531700,Q3-19
8/13/2019,309.769989,316.429993,308.160004,312.279999,312.279999,5289400,Q3-19
8/14/2019,308.01001,308.410004,298.01001,299.109985,299.109985,7355800,Q3-19
8/15/2019,299.5,300.630005,288,295.76001,295.76001,9629200,Q3-19
8/16/2019,298.859985,303.549988,296.269989,302.799988,302.799988,6905800,Q3-19
8/19/2019,306.25,311.75,304.75,309.380005,309.380005,4942200,Q3-19
8/20/2019,304.570007,305,297.679993,298.98999,298.98999,7349900,Q3-19
8/21/2019,301.609985,302.880005,296.200012,297.809998,297.809998,5685400,Q3-19
8/22/2019,298.649994,300.329987,293.149994,296.929993,296.929993,4974200,Q3-19
8/23/2019,295,299.01001,290.320007,291.440002,291.440002,6324900,Q3-19
8/26/2019,295.23999,296.950012,292.5,294.980011,294.980011,4695700,Q3-19
8/27/2019,294.540009,296.769989,287.200012,291.029999,291.029999,6309400,Q3-19
8/28/2019,289.470001,292.820007,287.75,291.769989,291.769989,3955700,Q3-19
8/29/2019,295,299.929993,294.98999,296.779999,296.779999,4388500,Q3-19
8/30/2019,298.779999,298.940002,290.850006,293.75,293.75,4446400,Q3-19
9/3/2019,290.820007,293.899994,288.059998,289.290009,289.290009,3682800,Q3-19
9/4/2019,291.25,292.380005,286.51001,291.519989,291.519989,4652500,Q3-19
9/5/2019,285.320007,293.970001,282.790009,293.25,293.25,8966800,Q3-19
9/6/2019,293.350006,293.350006,287.029999,290.170013,290.170013,5166600,Q3-19
9/9/2019,294.809998,301.549988,290.600006,294.339996,294.339996,8232700,Q3-19
9/10/2019,291.160004,297.170013,282.660004,287.98999,287.98999,12320200,Q3-19
9/11/2019,285.700012,292.649994,284.609985,288.269989,288.269989,7405900,Q3-19
9/12/2019,288.100006,292.730011,286.600006,288.859985,288.859985,5010900,Q3-19
9/13/2019,290.609985,296.619995,290.040009,294.149994,294.149994,6583100,Q3-19
9/16/2019,294.230011,297.429993,289.779999,294.290009,294.290009,5307400,Q3-19
9/17/2019,294.5,299.149994,291.790009,298.600006,298.600006,4777100,Q3-19
